,city,cloudiness,country,date,humidity,lat,lng,max_temp,max_speed
366,kenai,90,US,1570852467,52,60.55,-151.26,45.0,13.87
367,yarmouth,90,CA,1570852468,93,43.84,-66.12,53.01,24.16
368,smithers,90,CA,1570852469,86,54.78,-127.17,39.2,2.24
369,xinqing,0,CN,1570852471,22,48.28,129.53,38.8,8.49
370,ambilobe,12,MG,1570852472,75,-13.19,49.05,72.46,8.01
371,vadso,52,NO,1570852475,100,70.07,29.75,21.2,5.82
372,harper,90,US,1570852476,81,30.3,-99.24,54.0,13.45
373,gidole,84,ET,1570852477,89,5.65,37.37,62.38,2.55
374,mandal,0,MN,1570852480,35,48.82,106.5,27.28,1.34
375,zhanaozen,41,KZ,1570852481,37,43.35,52.85,51.94,13.2
376,nyurba,100,RU,1570852483,80,63.29,118.35,20.98,10.15
377,hit,48,IQ,1570852484,30,33.64,42.83,76.24,2.18
378,taft,90,US,1570852486,48,27.98,-97.4,61.0,13.87
379,kuusamo,90,FI,1570852489,100,65.96,29.19,33.8,4.7
380,sao jose da coroa grande,54,BR,1570852491,71,-8.9,-35.15,78.76,16.77
381,baykit,0,RU,1570852492,48,61.68,96.39,26.92,1.81
382,cayenne,20,GF,1570852493,94,4.94,-52.33,75.2,3.36
383,shimoda,75,JP,1570852495,94,34.7,138.93,78.8,19.46
384,cangucu,1,BR,1570852496,79,-31.39,-52.68,69.01,1.99
